Price,Price
Ticker,SPY
Date,
2021-04-01,375.18475341796875
2021-04-05,380.56982421875
2021-04-06,380.3450927734375
2021-04-07,380.78515625
2021-04-08,382.5926818847656
2021-04-09,385.374267578125
2021-04-12,385.51470947265625
2021-04-13,386.6571960449219
2021-04-14,385.3367919921875
2021-04-15,389.47625732421875
2021-04-16,390.7779846191406
2021-04-19,388.8581237792969
2021-04-20,386.0111389160156
2021-04-21,389.6636047363281
2021-04-22,386.10467529296875
2021-04-23,390.291015625
2021-04-26,391.1058349609375
2021-04-27,391.0215148925781
2021-04-28,390.90911865234375
2021-04-29,393.4002990722656
2021-04-30,390.8154602050781
2021-05-03,391.65838623046875
2021-05-04,389.2421569824219
2021-05-05,389.3638610839844
2021-05-06,392.4731750488281
2021-05-07,395.32965087890625
2021-05-10,391.4148864746094
2021-05-11,387.9216003417969
2021-05-12,379.68017578125
2021-05-13,384.2410888671875
2021-05-14,390.1411437988281
2021-05-17,389.1485290527344
2021-05-18,385.795654296875
2021-05-19,384.7841796875
2021-05-20,388.92376708984375
2021-05-21,388.605224609375
2021-05-24,392.56683349609375
2021-05-25,391.69586181640625
2021-05-26,392.4731750488281
2021-05-27,392.67919921875
2021-05-28,393.3816223144531
2021-06-01,393.03515625
2021-06-02,393.6531982421875
2021-06-03,392.1922302246094
2021-06-04,395.77911376953125
2021-06-07,395.3951416015625
2021-06-08,395.4794616699219
2021-06-09,394.88946533203125
2021-06-10,396.72503662109375
2021-06-11,397.380615234375
2021-06-14,398.27032470703125
2021-06-15,397.539794921875
2021-06-16,395.3201904296875
2021-06-17,395.18914794921875
2021-06-18,389.8577575683594
2021-06-21,395.43902587890625
2021-06-22,397.5531921386719
2021-06-23,397.073974609375
2021-06-24,399.4229736328125
2021-06-25,400.8417663574219
2021-06-28,401.64984130859375
2021-06-29,401.86590576171875
2021-06-30,402.2041931152344
2021-07-01,404.43096923828125
2021-07-02,407.5222473144531
2021-07-06,406.77996826171875
2021-07-07,408.21759033203125
2021-07-08,404.8914489746094
2021-07-09,409.2135925292969
2021-07-12,410.6792907714844
2021-07-13,409.279296875
2021-07-14,409.8901062011719
2021-07-15,408.4900817871094
2021-07-16,405.2860412597656
2021-07-19,399.3008117675781
2021-07-20,405.02294921875
2021-07-21,408.3021545410156
2021-07-22,409.1571960449219
2021-07-23,413.3665466308594
2021-07-26,414.3813171386719
2021-07-27,412.4927978515625
2021-07-28,412.3236389160156
2021-07-29,414.0336608886719
2021-07-30,412.02294921875
2021-08-02,411.15850830078125
2021-08-03,414.5035095214844
2021-08-04,412.4645690917969
2021-08-05,415.07666015625
2021-08-06,415.7625732421875
2021-08-09,415.42431640625
2021-08-10,415.94110107421875
2021-08-11,416.9747314453125
2021-08-12,418.2242736816406
2021-08-13,418.9853820800781
2021-08-16,419.971923828125
2021-08-17,417.218994140625
2021-08-18,412.6524963378906
2021-08-19,413.2913818359375
2021-08-20,416.5799255371094
